,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
Specialty Chemicals,43,2802012493.7674417,1156000000.0,43,5040735120.744186,2180883968.0,43,0.3338837209302326,0.24,43,-0.8039795366967443,0.107889995,42,1.3786416190476192,1.381678,43,94.84904883720928,56.6344
Specialty Industrial Machinery,56,2870111193.428571,863871488.0,56,5167525564.142858,2526233984.0,56,0.21801785714285718,0.198,56,0.12898339151785718,0.13299500000000003,52,1.3681629999999994,1.337425,56,117.67608571428569,92.17
Specialty Retail,39,1953361166.8205128,1300466944.0,39,6462952815.256411,2927239936.0,39,0.3012820512820512,0.163,39,-0.00874743438461539,0.09318,34,1.6947088529411762,1.688571,39,156.25142820512824,47.65
Staffing & Employment Services,14,700219722.2857143,494568000.0,14,5025017485.714286,4096000000.0,14,0.22335714285714284,0.1745,14,0.0877214285,0.0748099975,14,1.4613608571428574,1.5166735,14,89.86476428571429,85.12
Steel,8,2881027284.0,2465415552.0,8,11011004216.0,11736450048.0,8,1.174125,1.0345,8,0.10584499875,0.09945999999999999,8,1.63872625,1.456147,8,59.8827625,43.04
Telecom Services,24,24606909353.333332,1443040448.0,24,18419324958.333332,1087127008.0,24,2.5387499999999994,0.0665,24,-2.2336179209166667,0.0638599975,24,0.7331649166666666,0.6663859999999999,24,109.80735833333334,25.605
Textile Manufacturing,1,394920000.0,394920000.0,1,887208000.0,887208000.0,1,-0.057,-0.057,1,0.19418,0.19418,1,1.461956,1.461956,1,88.265,88.265
Thermal Coal,3,912613333.3333334,705873024.0,3,1835010645.3333333,1519870976.0,3,0.30866666666666664,0.36200000000000004,3,-0.06614333166666668,-0.06906,3,1.7536026666666669,1.5770879999999998,3,42.31333333333334,24.87
Tobacco,5,11995437606.4,1581438976.0,5,11267763500.8,2050769024.0,5,0.10120000000000003,0.091,5,0.307102008,0.24854,5,0.7712492,0.69365,5,49.709,47.38
Tools & Accessories,8,1415380150.0,981634976.0,8,4546395240.0,3162814976.0,8,0.074,0.0975,8,0.1441349995,0.141195,8,1.4651041249999999,1.3774025,8,120.65526249999999,118.35
Travel Services,8,11800328320.0,10218500096.0,8,2189636810.0,421534496.0,8,2.909875,-0.035,8,-14.486752127499997,-7.30447501,8,2.07469,2.0977419999999998,8,349.04062500000003,40.4825
Trucking,12,501695996.6666667,238449000.0,12,2672645008.0,2245019456.0,12,0.4010833333333333,0.21399999999999997,12,-6.727820831583336,0.08436000499999999,11,1.4240789999999999,1.229803,12,85.49424999999998,31.564999999999998
Uranium,2,60828784.0,60828784.0,1,244500000.0,244500000.0,1,-0.17600000000000002,-0.17600000000000002,2,0.052965,0.052965,2,2.4491755,2.4491755,2,29.125,29.125
Utilities,64,12622243324.0,6729309952.0,64,6333264994.875,3401730048.0,64,0.160125,0.094,64,0.198879219375,0.208584995,63,0.5032437936507937,0.445194,64,64.89013437500002,64.255
Waste Management,8,3492367406.0,1269000512.0,8,4580553216.0,1763074048.0,8,0.21125,0.177,8,0.107456248375,0.10098499999999999,7,1.1285178571428571,1.1376620000000002,8,83.963675,77.8497
